"Name"	"Measurement 3"
"Description"	""
"Date"	"2/25/2025 2:12:24 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"98"
"Measurement time(s)"	"100"
"Dead time(%)"	"26.30"
"CountRate"	"153894.42"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"4.13"	"1319"
"4.14"	"1155"
"4.15"	"1008"
"4.16"	"950"
"4.17"	"892"
"4.18"	"902"
"4.19"	"853"
"4.20"	"869"
"4.21"	"842"
"4.22"	"815"
"4.23"	"809"
"4.24"	"831"
"4.25"	"872"
"4.26"	"819"
"4.27"	"851"
"4.28"	"880"
"4.29"	"830"
"4.30"	"846"
"4.31"	"858"
"4.32"	"909"
"4.33"	"982"
"4.34"	"1049"
"4.35"	"994"
"4.36"	"1171"
"4.37"	"1341"
"4.38"	"1585"
"4.39"	"2039"
"4.40"	"2592"
"4.41"	"3396"
"4.42"	"4342"
"4.43"	"5565"
"4.44"	"6901"
"4.45"	"8545"
"4.46"	"10329"
"4.47"	"12002"
"4.48"	"13571"
"4.49"	"14676"
"4.50"	"15388"
"4.51"	"15542"
"4.52"	"15177"
"4.53"	"14397"
"4.54"	"13098"
"4.55"	"11612"
"4.56"	"10158"
"4.57"	"8437"
"4.58"	"6866"
"4.59"	"5722"
"4.60"	"4762"
"4.61"	"3879"
"4.62"	"3337"
"4.63"	"2831"
"4.64"	"2497"
"4.65"	"2344"
"4.66"	"2163"
"4.67"	"2069"
"4.68"	"1941"
"4.69"	"1794"
"4.70"	"1701"
"4.71"	"1588"
"4.72"	"1508"
"4.73"	"1474"
"4.74"	"1341"
"4.75"	"1278"
"4.76"	"1325"
"4.77"	"1307"
"4.78"	"1322"
"4.79"	"1451"
"4.80"	"1506"
"4.81"	"1538"
"4.82"	"1710"
"4.83"	"1882"
"4.84"	"2045"
"4.85"	"2250"
"4.86"	"2502"
"4.87"	"2769"
"4.88"	"3005"
"4.89"	"3243"
"4.90"	"3406"
"4.91"	"3674"
"4.92"	"3829"
"4.93"	"3946"
"4.94"	"3911"
"4.95"	"3781"
"4.96"	"3614"
"4.97"	"3442"
"4.98"	"3095"
"4.99"	"2812"
"5.00"	"2508"
"5.01"	"2261"
"5.02"	"1998"
"5.03"	"1817"
"5.04"	"1657"
"5.05"	"1470"
"5.06"	"1377"
"5.07"	"1366"
"5.08"	"1325"
"5.09"	"1313"
"5.10"	"1312"
"5.11"	"1347"
"5.12"	"1341"
"5.13"	"1318"
"5.14"	"1305"
"5.15"	"1346"
"5.16"	"1322"
"5.17"	"1396"
"5.18"	"1424"
"5.19"	"1435"
"5.20"	"1432"
"5.21"	"1428"
"5.22"	"1496"
"5.23"	"1473"
"5.24"	"1468"
"5.25"	"1519"
"5.26"	"1520"
"5.27"	"1563"
"5.28"	"1662"
"5.29"	"1601"
"5.30"	"1598"
"5.31"	"1676"
"5.32"	"1695"
"5.33"	"1744"
"5.34"	"1826"
"5.35"	"1961"
"5.36"	"2009"
"5.37"	"2097"
"5.38"	"2104"
"5.39"	"2183"
"5.40"	"2257"
"5.41"	"2205"
"5.42"	"2194"
"5.43"	"2299"
"5.44"	"2216"
"5.45"	"2157"
"5.46"	"2092"
"5.47"	"2036"
"5.48"	"2005"
"5.49"	"1962"
"5.50"	"1844"
"5.51"	"1808"
"5.52"	"1716"
"5.53"	"1712"
"5.54"	"1721"
"5.55"	"1630"
"5.56"	"1660"
"5.57"	"1709"
"5.58"	"1697"
"5.59"	"1655"
"5.60"	"1677"
"5.61"	"1662"
"5.62"	"1683"
"5.63"	"1657"
"5.64"	"1675"
"5.65"	"1641"
"5.66"	"1660"
"5.67"	"1702"
"5.68"	"1711"
"5.69"	"1735"
