"Name"	"Measurement 2"
"Description"	""
"Date"	"2/25/2025 2:05:30 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"111"
"Measurement time(s)"	"100"
"Dead time(%)"	"28.74"
"CountRate"	"154674.2"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"6.70"	"3514"
"6.71"	"3400"
"6.72"	"3433"
"6.73"	"3465"
"6.74"	"3429"
"6.75"	"3456"
"6.76"	"3462"
"6.77"	"3481"
"6.78"	"3545"
"6.79"	"3544"
"6.80"	"3466"
"6.81"	"3567"
"6.82"	"3568"
"6.83"	"3658"
"6.84"	"3721"
"6.85"	"3674"
"6.86"	"3784"
"6.87"	"3832"
"6.88"	"3825"
"6.89"	"3925"
"6.90"	"4006"
"6.91"	"4018"
"6.92"	"4003"
"6.93"	"4115"
"6.94"	"4039"
"6.95"	"4060"
"6.96"	"4046"
"6.97"	"3926"
"6.98"	"3950"
"6.99"	"3901"
"7.00"	"3911"
"7.01"	"3968"
"7.02"	"3928"
"7.03"	"3965"
"7.04"	"3914"
"7.05"	"3905"
"7.06"	"3905"
"7.07"	"3830"
"7.08"	"3829"
"7.09"	"3813"
"7.10"	"3811"
"7.11"	"3735"
"7.12"	"3619"
"7.13"	"3709"
"7.14"	"3564"
"7.15"	"3609"
"7.16"	"3605"
"7.17"	"3641"
"7.18"	"3564"
"7.19"	"3601"
"7.20"	"3669"
"7.21"	"3676"
"7.22"	"3651"
"7.23"	"3641"
"7.24"	"3684"
"7.25"	"3765"
"7.26"	"3743"
"7.27"	"3788"
"7.28"	"3797"
"7.29"	"3836"
"7.30"	"3897"
"7.31"	"3856"
"7.32"	"3884"
"7.33"	"3886"
"7.34"	"3944"
"7.35"	"4026"
"7.36"	"4044"
"7.37"	"4143"
"7.38"	"4096"
"7.39"	"4153"
"7.40"	"4259"
"7.41"	"4323"
"7.42"	"4398"
"7.43"	"4392"
"7.44"	"4523"
"7.45"	"4669"
"7.46"	"4669"
"7.47"	"4551"
"7.48"	"4539"
"7.49"	"4422"
"7.50"	"4408"
"7.51"	"4343"
"7.52"	"4318"
"7.53"	"4209"
"7.54"	"4181"
"7.55"	"4068"
"7.56"	"4066"
"7.57"	"3999"
"7.58"	"3988"
"7.59"	"3917"
"7.60"	"3867"
"7.61"	"3919"
"7.62"	"3824"
"7.63"	"3744"
"7.64"	"3704"
"7.65"	"3727"
"7.66"	"3854"
"7.67"	"3786"
"7.68"	"3788"
"7.69"	"3751"
"7.70"	"3741"
"7.71"	"3771"
"7.72"	"3688"
"7.73"	"3716"
"7.74"	"3791"
"7.75"	"3729"
"7.76"	"3703"
"7.77"	"3742"
"7.78"	"3767"
"7.79"	"3822"
"7.80"	"3825"
"7.81"	"3819"
"7.82"	"3935"
"7.83"	"3990"
"7.84"	"3948"
"7.85"	"3924"
"7.86"	"4017"
"7.87"	"4044"
"7.88"	"4079"
"7.89"	"4069"
"7.90"	"4152"
"7.91"	"4203"
"7.92"	"4204"
"7.93"	"4234"
"7.94"	"4227"
"7.95"	"4292"
"7.96"	"4401"
"7.97"	"4446"
"7.98"	"4607"
"7.99"	"4720"
"8.00"	"4734"
"8.01"	"4816"
"8.02"	"4844"
"8.03"	"4910"
"8.04"	"4850"
"8.05"	"4882"
"8.06"	"4861"
"8.07"	"4819"
"8.08"	"4693"
"8.09"	"4584"
"8.10"	"4540"
"8.11"	"4565"
"8.12"	"4483"
"8.13"	"4409"
"8.14"	"4309"
"8.15"	"4208"
"8.16"	"4236"
"8.17"	"4220"
"8.18"	"4184"
"8.19"	"4097"
"8.20"	"4109"
"8.21"	"4194"
"8.22"	"4254"
"8.23"	"4123"
"8.24"	"4184"
"8.25"	"4273"
"8.26"	"4293"
"8.27"	"4303"
"8.28"	"4175"
"8.29"	"4184"
"8.30"	"4237"
"8.31"	"4260"
"8.32"	"4303"
