"Name"	"Measurement 1"
"Description"	""
"Date"	"2/25/2025 1:56:03 PM"
"Voltage(kV)"	"50"
"Current(uA)"	"74"
"Measurement time(s)"	"100"
"Dead time(%)"	"27.92"
"CountRate"	"152050.45"
"Processing Time"	"Process 2"
"Filter"	"None"
"Collimator"	"3 mm"
"Channel"	"4096"
"5.24"	"1957"
"5.25"	"1916"
"5.26"	"1899"
"5.27"	"1866"
"5.28"	"1860"
"5.29"	"1912"
"5.30"	"1972"
"5.31"	"1929"
"5.32"	"1962"
"5.33"	"1993"
"5.34"	"1937"
"5.35"	"2043"
"5.36"	"2030"
"5.37"	"2060"
"5.38"	"2066"
"5.39"	"2068"
"5.40"	"2111"
"5.41"	"2075"
"5.42"	"2015"
"5.43"	"2112"
"5.44"	"2051"
"5.45"	"2143"
"5.46"	"2180"
"5.47"	"2101"
"5.48"	"2125"
"5.49"	"2126"
"5.50"	"2136"
"5.51"	"2127"
"5.52"	"2194"
"5.53"	"2124"
"5.54"	"2112"
"5.55"	"2115"
"5.56"	"2157"
"5.57"	"2120"
"5.58"	"2173"
"5.59"	"2162"
"5.60"	"2159"
"5.61"	"2117"
"5.62"	"2149"
"5.63"	"2214"
"5.64"	"2153"
"5.65"	"2235"
"5.66"	"2275"
"5.67"	"2175"
"5.68"	"2249"
"5.69"	"2276"
"5.70"	"2205"
"5.71"	"2239"
"5.72"	"2230"
"5.73"	"2242"
"5.74"	"2231"
"5.75"	"2277"
"5.76"	"2330"
"5.77"	"2228"
"5.78"	"2270"
"5.79"	"2244"
"5.80"	"2270"
"5.81"	"2302"
"5.82"	"2334"
"5.83"	"2330"
"5.84"	"2363"
"5.85"	"2423"
"5.86"	"2351"
"5.87"	"2376"
"5.88"	"2376"
"5.89"	"2414"
"5.90"	"2472"
"5.91"	"2361"
"5.92"	"2396"
"5.93"	"2399"
"5.94"	"2425"
"5.95"	"2528"
"5.96"	"2449"
"5.97"	"2417"
"5.98"	"2419"
"5.99"	"2418"
"6.00"	"2510"
"6.01"	"2492"
"6.02"	"2448"
"6.03"	"2519"
"6.04"	"2475"
"6.05"	"2550"
"6.06"	"2581"
"6.07"	"2567"
"6.08"	"2558"
